old_code,new_code
01,01
01.1,01.1
01.2,01.2
01.11,01.11
01.11.1,01.11.1
01.11.2,01.11.2
01.11.2,01.13.3
01.11.3,01.11.3
01.11.4,01.15
01.11.5,01.13.51
01.11.6,01.19.1
01.61,01.61
01.11.7,01.16
01.11.8,01.19
01.29,01.29
01.12,01.13
01.25,01.25
01.30,01.30
01.12.1,01.13.1
01.12.2,01.30
01.19.2,01.19.2
01.12.3,01.13.6
02.30.11,02.30.11
01.12.31,01.13.6
01.12.32,02.30.11
01.13,01.2
01.13.1,01.21
01.13.2,01.25
01.13.21,01.25.1
01.13.22,01.25.3
01.13.23,01.25.2
01.25.1,01.25.1
01.13.24,02.30.12
02.30.13,02.30.13
01.13.3,01.27
01.13.4,01.28.1
01.2,01.4
01.21,01.41
01.42,01.42
01.22,01.45.1
01.43.1,01.43.1
01.22.1,01.45.1
01.22.2,01.43.1
01.23,01.46
01.24,01.47
01.25,01.49
01.25.1,01.49.1
01.25.2,01.49.2
01.25.3,01.49.3
01.25.4,01.49.4
01.25.5,01.44
01.25.6,01.49.5
01.25.7,01.49.6
01.25.8,03.22.2
01.49.7,01.49.7
01.25.81,03.22.2
01.25.82,01.49.7
01.25.9,01.49.9
01.3,01.5
01.30,01.50
01.4,01.6
01.41,01.61
01.41.1,01.61
01.41.2,01.61
01.41.3,01.61
01.42,01.62
01.5,01.7
01.50,01.70
02,02
02.0,02.1
02.01,02.10
02.20,02.20
02.01.1,02.20
02.01.2,02.30.2
02.01.5,02.10
02.01.6,02.10.1
02.01.61,02.10.11
02.01.69,02.10.19
02.02,02.40
02.02.1,02.40.1
02.02.2,02.40.2
05,03
05.0,03.1
03.2,03.2
05.01,03.1
05.01.1,03.11
05.01.11,03.11
05.01.12,03.11
05.01.2,03.12
05.01.21,03.12
05.01.22,03.12
05.01.3,03.11
03.12,03.12
05.02,03.2
05.02.1,03.21.4
03.22.5,03.22.5
05.02.11,03.21.4
03.22.5,03.22.5
05.02.12,03.21.4
03.22.5,03.22.5
05.02.2,03.21.4
03.22.5,03.22.5
10,05
05.20.1,05.20.1
08.92.1,08.92.1
10.1,05.1
19.3,19.3
10.10,05.10
10.10.1,05.10.1
10.10.11,05.10.11
05.10.12,05.10.12
05.10.13,05.10.13
10.10.12,05.10.14
05.10.15,05.10.15
05.10.16,05.10.16
10.10.2,05.10.2
19.32,19.32
10.10.21,05.10.21
05.10.22,05.10.22
05.10.23,05.10.23
10.10.22,19.32
19.31,19.31
10.2,05.2
19.33,19.33
10.20,05.20
19.33,19.33
10.20.1,05.20.1
10.20.11,05.20.11
10.20.12,05.20.12
10.20.2,05.20.2
19.33,19.33
10.20.21,05.20.2
10.20.22,19.33
10.3,08.92
10.30,08.92
10.30.1,08.92.1
10.30.2,08.92.2
11,06
09.1,09.1
11.1,06.1
11.10,06.10
11.10.1,06.10
06.10.4,06.10.4
11.10.11,06.10.1
06.10.3,06.10.3
11.10.12,06.10.4
11.10.13,06.10.2
11.10.2,06.20
11.10.3,09.10.4
11.2,09.1
11.20,09.10
11.20.1,09.10.1
